Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-2607.784	-2818.215	210.4309	0.4183954	1.319756	2.881829
6	-2610.462	-2821.287	210.8243	0.2936463	1.187566	2.881829
12	-2613.39	-2824.472	211.0821	0.2551547	1.341326	2.688939
18	-2610.396	-2821.538	211.1416	0.2037278	1.215227	2.816328
24	-2608.225	-2819.667	211.4418	0.3429452	1.275154	2.377886
30	-2603.293	-2814.332	211.0389	0.2908211	1.378549	2.638248
36	-2609.11	-2820.208	211.0987	0.1887193	1.252291	2.84738
42	-2597.326	-2808.519	211.1933	0.2769798	1.223873	2.658989
48	-2591.249	-2802.204	210.9546	0.3069165	1.391571	2.658989
54	-2602.647	-2813.866	211.2195	0.3115856	1.403586	2.480476
60	-2597.249	-2808.267	211.0171	0.3600961	1.372733	2.560378
66	-2594.84	-2806.019	211.1787	0.4491897	1.352485	2.364555
72	-2600.51	-2811.277	210.7672	0.4696357	1.463196	2.531054
78	-2592.236	-2803.731	211.4947	0.3090598	1.429019	2.293945
84	-2604.782	-2815.608	210.8258	0.3670489	1.429019	2.635147
90	-2601.4	-2812.648	211.2488	0.3398698	1.314273	2.478906
96	-2598.116	-2809.028	210.9119	0.4897235	1.434519	2.436973
102	-2611.512	-2823.219	211.7072	0.4690705	1.436905	1.942267
108	-2611.918	-2824.944	213.0264	0.2190806	1.577809	1.273669
114	-2610.089	-2821.646	211.557	0.4861972	1.447418	2.016179
120	-2615.235	-2827.445	212.21	0.2429872	1.447418	1.919268
126	-2610.547	-2820.651	210.1039	0.3947071	1.132358	3.21656
132	-2603.902	-2814.345	210.443	0.3815557	1.18357	2.999376
138	-2594.668	-2805.515	210.847	0.3815557	1.209459	2.739034
144	-2588.498	-2799.319	210.8211	0.2050519	1.290481	2.962214
150	-2597.711	-2808.374	210.6637	0.5535986	1.41864	2.538056
156	-2597.892	-2808.031	210.1396	0.2032058	1.362976	3.327601
162	-2593.852	-2803.745	209.8926	0.4319171	1.08527	3.327601
